timestamp,user,action,description,protocol,url,method,source_ip,dest_ip,dest_domain,client_ip,source_port,dest_port,severity,host,rule_name,app,category,bytes_sent,bytes_received,threat_id,user_agent,eventid,workstation,privilege,object,accessmask,target,status,reason,process,parentprocess,fileaccessed,alert,machine,os,details,resource,location,facility,code,message,event,file,verdict,log_type,domain,hour,weekday,anomaly
2025-05-26 09:00:00,unknown,allow,unknown,tcp,unknown,unknown,192.168.1.72,64.233.186.27,unknown,0.0.0.0,16315.0,22.0,unknown,unknown,Allow-SSH,ssh,file-transfer,921.0,2455.0,0.0,unknown,0.0,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,firewall,unknown,9,0,normal
2025-05-26 09:01:00,unknown,allow,unknown,tcp,unknown,unknown,192.168.1.55,64.233.186.27,unknown,0.0.0.0,51396.0,21.0,unknown,unknown,Allow-FTP-Control,ftp-control,file-transfer,1754.0,6055.0,0.0,unknown,0.0,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,firewall,unknown,9,0,normal
2025-05-26 09:01:18,unknown,allow,unknown,udp,unknown,unknown,192.168.1.78,139.59.196.186,unknown,0.0.0.0,19634.0,69.0,unknown,unknown,Allow-TFTP,tftp,file-transfer,4167.0,6050.0,0.0,unknown,0.0,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,firewall,unknown,9,0,normal
2025-05-26 09:01:20,unknown,allow,unknown,tcp,unknown,unknown,192.168.1.16,13.224.0.0,unknown,0.0.0.0,63613.0,993.0,unknown,unknown,Allow-IMAPS,imaps,email,6328.0,6929.0,0.0,"""Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/115.0""",0.0,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,firewall,unknown,9,0,normal
2025-05-26 09:01:27,unknown,allow,unknown,tcp,unknown,unknown,192.168.1.90,157.240.1.35,unknown,0.0.0.0,59487.0,2222.0,unknown,unknown,Allow-Alt-SSH,alt-ssh,remote-access,1841.0,6007.0,0.0,unknown,0.0,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,firewall,unknown,9,0,normal
2025-05-26 09:01:59,unknown,allow,unknown,tcp,unknown,unknown,192.168.1.10,104.198.14.52,unknown,0.0.0.0,17404.0,12345.0,unknown,unknown,Allow-NetBus,netbus,malware,7323.0,3225.0,0.0,unknown,0.0,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,firewall,unknown,9,0,normal
2025-05-26 09:02:08,unknown,allow,unknown,tcp,unknown,unknown,192.168.1.26,13.224.0.0,unknown,0.0.0.0,15423.0,6379.0,unknown,unknown,Allow-Redis,redis,database,3469.0,5155.0,0.0,unknown,0.0,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,firewall,unknown,9,0,normal
2025-05-26 09:02:15,unknown,allow,unknown,tcp,unknown,unknown,192.168.1.31,5.196.0.1,unknown,0.0.0.0,48361.0,990.0,unknown,unknown,Allow-FTPS-Control,ftps-control,file-transfer,8913.0,8729.0,0.0,unknown,0.0,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,firewall,unknown,9,0,normal
2025-05-26 09:02:45,unknown,allow,unknown,tcp,unknown,unknown,192.168.1.28,69.63.176.13,unknown,0.0.0.0,18888.0,12345.0,unknown,unknown,Allow-NetBus,netbus,malware,4922.0,6704.0,0.0,unknown,0.0,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,firewall,unknown,9,0,normal
2025-05-26 09:03:30,unknown,allow,unknown,tcp,unknown,unknown,192.168.1.62,147.253.224.2,unknown,0.0.0.0,25087.0,5900.0,unknown,unknown,Allow-VNC,vnc,remote-access,6628.0,7763.0,0.0,unknown,0.0,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,firewall,unknown,9,0,normal
2025-05-26 09:04:00,unknown,allow,unknown,tcp,unknown,unknown,192.168.1.46,15.230.0.0,unknown,0.0.0.0,52945.0,636.0,unknown,unknown,Allow-LDAPS,ldaps,directory-auth,8000.0,2381.0,0.0,unknown,0.0,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,firewall,unknown,9,0,normal
2025-05-26 09:04:10,unknown,allow,unknown,tcp,unknown,unknown,192.168.1.28,31.13.71.36,unknown,0.0.0.0,14133.0,646.0,unknown,unknown,Allow-LDP,ldp,remote-access,7674.0,2954.0,0.0,unknown,0.0,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,firewall,unknown,9,0,normal
2025-05-26 09:04:12,unknown,allow,unknown,tcp,unknown,unknown,192.168.1.52,8.8.8.8,unknown,0.0.0.0,15249.0,80.0,unknown,unknown,Allow-HTTP,http,web,1072.0,869.0,0.0,"""Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/115.0""",0.0,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,firewall,unknown,9,0,normal
