timestamp,type,user,action,description
2025-05-26 09:00:10,MAIL,user.nour.e,EMAIL_RELEASED_FROM_QUARANTINE,Envoi d’un email de validation pour action urgente
2025-05-26 09:00:34,MAIL,user.karim,EMAIL_ENCRYPTED,Accès au webmail via un nouveau navigateur
2025-05-26 09:01:34,MAIL,user.ibtissam,SECURITY_POLICY_UPDATED,Changement de mot de passe demandé par utilisateur
2025-05-26 09:01:59,MAIL,user.soumaya,UNAUTHORIZED_ACCESS_ATTEMPT,Renvoi d’un email avec données sensibles
2025-05-26 09:03:35,MAIL,user.riad,EMAIL_QUARANTINED,Recherche d’emails contenant des mots-clés sensibles
2025-05-26 09:03:00,MAIL,user.ines,ACCOUNT_REACTIVATED,Téléchargement d’un fichier CSV utilisateur
2025-05-26 09:03:55,MAIL,user.rachid.k,EMAIL_MOVED_FOLDER,Téléchargement d’un fichier CSV utilisateur
2025-05-26 09:03:53,MAIL,user.imane,API_ACCESS_GRANTED,Signalement d’un email spam suspect
2025-05-26 09:05:36,MAIL,user.taha,SECURITY_LOG_REVIEWED,Connexion à la messagerie via un appareil mobile
2025-05-26 09:07:08,MAIL,user.nawal,SEND_EMAIL,"Modification des droits d’accès à un dossier partagé: Destinataire 'dalia.abdulaziz@um6p.ma', Sujet 'Rappel: Changement de mot de passe imminent'"
2025-05-26 09:08:05,MAIL,user.sara,SECURITY_QUESTION_SET,Déclenchement d’une règle UEBA pour trafic inhabituel
2025-05-26 09:08:35,MAIL,user.fatima,UPLOAD_ATTACHMENT,Suppression d’un email de phishing détecté
2025-05-26 09:10:00,MAIL,user.ayman.e,UPLOAD_ATTACHMENT,Lecture d’un email important concernant la réunion UM6P
2025-05-26 09:12:14,MAIL,user.mounir,EMAIL_RULE_TRIGGERED,Suppression d’un email de phishing détecté
2025-05-26 09:12:58,MAIL,user.adil,ATTACHMENT_DOWNLOAD,Tentative de connexion détectée depuis une IP étrangère: Fichier 'rapport_incident_securite.docx'
2025-05-26 09:11:57,MAIL,user.abdelmajid,PASSWORD_CHANGE,Lecture d’un email important concernant la réunion UM6P
2025-05-26 09:09:43,MAIL,user.nour,EMAIL_FORWARDED_EXTERNAL,Téléchargement d’un fichier CSV utilisateur
2025-05-26 09:17:26,MAIL,user.oumnia,EMAIL_FORWARDED_EXTERNAL,Transfert d’un email à un client externe
2025-05-26 09:17:15,MAIL,user.ridouane,EMAIL_SEARCH,Modification des droits d’accès à un dossier partagé: Recherche 'Mots de passe VPN UM6P'
2025-05-26 09:13:42,MAIL,user.lamia,CLICKED_LINK,Connexion au webmail via IP validée par AD: Lien 'http://downloads.um6p-system.ma/archive.zip'
2025-05-26 09:16:16,MAIL,user.aminata,EMAIL_RULE_DELETED,Lecture d’un email interne confidentiel
2025-05-26 09:12:09,MAIL,user.mohamed,PASSWORD_ATTEMPT_BLOCKED,Consultation d’un email avec pièce jointe malveillante
2025-05-26 09:19:56,MAIL,user.aya,LOGIN_FAILED,Lecture d’un email de confirmation d’inscription: IP 10.10.12.27
2025-05-26 09:17:09,MAIL,user.amine,EMAIL_MARKED_UNREAD,Demande d’accès temporaire pour collaborateur externe
2025-05-26 09:15:19,MAIL,user.aya,SECURITY_ALERT_ACKNOWLEDGED,Envoi d’un email avec des informations financières
2025-05-26 09:16:56,MAIL,user.ismail,SECURITY_QUESTION_SET,Renvoi d’un email avec données sensibles
2025-05-26 09:25:59,MAIL,user.nour,SECURITY_QUESTION_CHANGED,"Clic sur un lien suspect détecté, possible phishing"
2025-05-26 09:19:07,MAIL,user.hind,EMAIL_RULE_CREATED,Partage d’un document critique via lien sécurisé
2025-05-26 09:14:35,MAIL,user.khadija,FORWARD_EMAIL,"Partage d’un rapport financier avec l’équipe: Destinataire 'hibah.yusuf@um6p.ma', Sujet 'Nouvelle procédure d’authentification'"
2025-05-26 09:14:33,MAIL,user.mohamed,ATTACHMENT_DOWNLOAD,Demande d’aide pour récupération de mot de passe: Fichier 'contrat_confidentialite_2025.pdf'
2025-05-26 09:17:30,MAIL,user.ayman.e,UPLOAD_ATTACHMENT,Consultation d’un email avec pièce jointe malveillante
2025-05-26 09:17:01,MAIL,user.abdelhak,SECURITY_QUESTION_CHANGED,Consultation d’un email avec pièce jointe sensible
