timestamp,type,user,method,url,ip,description
2025-05-26 09:03:47,PROXY,user.omar,POST,http://backdoor.um6p.fake/path,IP:10.10.12.101,Requête vers domaine anonyme
2025-05-26 09:04:33,PROXY,user.malek.r,POST,http://spoofed-mail.com/open,IP:10.10.12.100,Connexion vers URL inconnue
2025-05-26 09:05:13,PROXY,user.meriem,POST,http://portal.um6p.ma/grades,IP:10.10.12.5,Connexion autorisée\, surveillance active
2025-05-26 09:06:19,PROXY,user.meriem,POST,http://temp-mail.org/inbox,IP:10.10.12.5,Page accédée via lien mail
2025-05-26 09:07:36,PROXY,user.nour.e,POST,https://downloadcenter.um6p.ma/tools,IP:10.10.12.96,Blocage automatique activé
2025-05-26 09:08:58,PROXY,user.rania,POST,http://backdoor.um6p.fake/path,IP:10.10.12.2,Page classée comme site de crypto-mining
2025-05-26 09:09:33,PROXY,user.khalida,GET,http://10.10.14.22:8081/admin/config,IP:10.10.12.99,Connexion à un serveur inconnu
2025-05-26 09:10:43,PROXY,user.ghita,POST,https://vpn-access.um6p.ma/token,IP:10.10.12.52,Demande de ressource interne depuis IP externe
2025-05-26 09:11:30,PROXY,user.fouad,GET,http://suspicious-mirror.com/download.exe,IP:10.10.12.65,Analyse antivirus déclenchée
2025-05-26 09:12:57,PROXY,user.abdelmajid,POST,http://gitlab.um6p.ma/projectX/commit,IP:10.10.12.93,Connexion sans User-Agent détectée
2025-05-26 09:13:58,PROXY,user.abdelhak,GET,http://cdn.um6p.ma/js/app.js,IP:10.10.12.86,Requête POST vers site non autorisé
2025-05-26 09:14:06,PROXY,user.chaimae,GET,http://10.0.1.45/api/info,IP:10.10.12.57,Domaine non blacklisté - accès autorisé
2025-05-26 09:15:20,PROXY,user.karima,GET,https://vpn-access.um6p.ma/token,IP:10.10.12.73,Échec authentification AD
2025-05-26 09:16:40,PROXY,user.oumaima,GET,http://drive-by-download.org/index.html,IP:10.10.12.19,Bloqué par firewall
2025-05-26 09:17:39,PROXY,user.aziz,POST,http://unknown-site.com,IP:10.10.12.53,Protocole non sécurisé utilisé
2025-05-26 09:18:23,PROXY,user.brahim,POST,http://internal-portal.um6p.ma/announcements,IP:10.10.12.84,Réplication d’attaque précédemment identifiée
2025-05-26 09:19:39,PROXY,user.rania,GET,https://assets.um6p.ma/js/core.min.js,IP:10.10.12.2,Tentative de phishing détectée
2025-05-26 09:20:17,PROXY,user.aziz,GET,http://hackerbox.tor,IP:10.10.12.53,Connexion autorisée par règle spéciale FW
2025-05-26 09:21:35,PROXY,user.rania,GET,http://192.168.100.5/api/v1/token,IP:10.10.12.2,Tentative de connexion brute force
2025-05-26 09:22:09,PROXY,user.hind,GET,https://docs.um6p.ma/security/guide.pdf,IP:10.10.12.67,Tentative de transfert de données sensibles
2025-05-26 09:23:56,PROXY,user.nour,GET,https://vpn.um6p.ma/portal,IP:10.10.12.29,Requête POST vers site non autorisé
2025-05-26 09:24:21,PROXY,user.malek,GET,http://fw-log.um6p.ma/download,IP:10.10.12.17,Tentative de phishing détectée
2025-05-26 09:25:29,PROXY,user.nour,POST,http://malicious-domain.ru/steal.php,IP:10.10.12.29,Tentative de contournement du proxy
2025-05-26 09:26:39,PROXY,user.rachid.k,GET,http://cdn.um6p.ma/js/app.js,IP:10.10.12.92,Tentative de transfert de données sensibles
2025-05-26 09:27:49,PROXY,user.ghita,POST,http://auth.um6p.ma/2fa,IP:10.10.12.52,Blocage automatique activé
2025-05-26 09:28:30,PROXY,user.aya,POST,http://10.0.0.1:8080/admin,IP:10.10.12.27,Protocole anormal utilisé pour POST
2025-05-26 09:29:11,PROXY,user.khalid,GET,http://phish-zone.com/intranet,IP:10.10.12.26,Requête GET excessive
2025-05-26 09:30:25,PROXY,user.nour,POST,https://docs.um6p.ma/security/guide.pdf,IP:10.10.12.29,Authentification échouée\, mot de passe invalide
2025-05-26 09:31:20,PROXY,user.abdelmajid,GET,http://lab.um6p.ma/experiments,IP:10.10.12.93,Connexion vers URL inconnue
2025-05-26 09:32:18,PROXY,user.soufiane.b,POST,http://temp-mail.org/inbox,IP:10.10.12.88,Connexion multiple en courte durée
2025-05-26 09:33:02,PROXY,user.karim,POST,http://downloads.um6p.ma/drivers/gpu.exe,IP:10.10.12.6,Signature de malware détectée
2025-05-26 09:34:17,PROXY,user.khalil,GET,http://blacklist-checker.net/um6p,IP:10.10.12.95,Tentative de phishing détectée
